actor,pessoa
eteq,4360
diegosarmentero,4360
xuhdev,4360
kraih,4358
yelracd,4353
ozten,4348
WanWizard,4347
ghing,4344
build-bst,4344
benohara,4342
jaredhanson,4337
laforge49,4335
dagwieers,4328
mantid-builder,4326
jmathai,4325
quifor,4321
ericam,4318
jj0hns0n,4318
dotta,4316
hadley,4316
robhudson,4315
W1ndwaker,4314
mrocklin,4310
seancribbs,4303
mt3,4303
NinjaZidane,4294
nightwing,4284
rphillips,4274
Mottie,4272
jbussdieker,4272
gwrtheyrn,4269
emerge,4269
jdeolive,4268
fceller,4259
bmwiedemann,4258
rugbytvlink12,4257
peller,4256
JB1tz,4251
jianxioy,4248
KindDragon,4245
mvriel,4243
tombentley,4238
WalterBright,4237
ray-lee,4234
tvlive,4229
ProLoser,4229
harlowja,4227
jancborchardt,4227
mbax,4224
mabl,4222
tarcieri,4221
mramato,4217
borkmann,4213
nddrylliog,4213
simonster,4212
siuying,4210
elclanrs,4206
tomkralidis,4204
cb1kenobi,4199
groovecoder,4197
0x6e6562,4195
exdeveloper,4195
tokuda109,4192
kachick,4190
jeffmccune,4184
scrawl,4183
stephpy,4182
Advael,4177
hershwg,4176
m4rkw,4176
shiftkey,4165
mourner,4165
mjg,4163
arikon,4159
Zorbash,4158
josh,4157
ueshin,4148
netzpirat,4147
voku,4147
zenorocha,4142
aeosynth,4140
jodal,4138
ip-cruisecontrol,4138
cboettig,4135
pulse00,4134
caarlos0,4133
Marak,4130
cadorn,4129
jeremyckahn,4128
remomueller,4125
toddparker,4124
robinkraft,4123
jonlemmon,4120
alejandrogomez,4119
wbond,4118
pombredanne,4117
halkyon,4116
miohtama,4114
jonathangreen,4114
whitemasto,4114
pelegri,4112
johnbender,4109
juppe,4107
book66,4105
suzeff,4105
Bootz,4104
redmunds,4103
alexanderdean,4095
ejholmes,4091
dtdesign,4087
vishalduggal,4082
rhiokim,4079
jbbarth,4077
pwmckenna,4076
rdp,4075
koron,4070
certik,4068
nao-pon,4068
tadmarshall,4065
c10ud,4062
gocom,4059
philwareham,4048
jedisct1,4048
jeffheifetz,4044
antirez,4042
HosipLan,4042
jone,4038
XhmikosR,4036
Kayant,4036
fge,4035
stefaneyr,4033
